,latitude,longitude,name
159,38.52199137,-121.49901489999999,5770 FREEPORT BLVD
160,38.63070055,-121.44086399999999,1113 CONGRESS AVE
161,38.6374478,-121.3846125,3421 AUBURN BLVD
162,38.56839814,-121.43135249999999,560 SANDBURG DR
163,38.48020103,-121.50157859999999,7608 AMHERST ST
164,38.63910642,-121.52799999999999,3801 DUCKHORN DR
165,38.57543889,-121.50297350000001,5TH ST / P ST
166,38.49203951,-121.46133020000002,7301 MEADOWGATE DR
167,38.677688399999994,-121.53454009999999,5518 SAGPOND WAY
168,38.54199544,-121.4712254,33RD ST / 11TH AVE
169,38.5127908,-121.5313723,35 QUAY CT
170,38.56796664,-121.48525420000001,1814 19TH ST
171,38.50488174,-121.4804148,2505 52ND AVE
172,38.52199137,-121.49901489999999,5770 FREEPORT BLVD
173,38.64823548,-121.4261249,1751 BELL AVE
174,38.63589608,-121.5055312,3661 TRUXEL RD
175,38.63869884,-121.4424398,3904 MAY ST
176,38.66157492,-121.4969793,1650 BAINES AVE
177,38.47415723,-121.42969950000001,6272 MACK RD
178,38.54818818,-121.3940644,8389 FOLSOM BLVD
179,38.553090600000004,-121.3751255,FOLSOM BLVD / WATT AVE
180,38.64770425,-121.4242104,1801 BELL AVE
181,38.56737967,-121.47865149999998,2314 Q ST
182,38.60972461,-121.4953467,2340 MOSSY BANK DR
183,38.45718227,-121.4133413,8101 COSUMNES RIVER BLVD
184,38.57775529999999,-121.48388229999999,J ST / 17TH ST
185,38.45964489,-121.42914479999999,8200 CENTER PKWY
186,38.50926564,-121.41297279999999,6421 SUN RIVER DR
187,38.63535055,-121.42815420000001,3715 IVY ST
188,38.62642643,-121.487454,3157 BRIDGEFORD DR
189,38.58432423,-121.4902264,11TH ST / F ST
190,38.57001564,-121.48722959999999,17TH ST / Q ST
191,38.52496323,-121.44388740000001,FRUITRIDGE RD / 53RD ST
192,38.52517945,-121.4443121,5301 FRUITRIDGE RD
193,38.62009985,-121.4590851,2890 GROVE AVE
194,38.6176064,-121.4204494,2828 CONNIE DR
195,38.54069286,-121.4728119,3700 32ND ST
196,38.56108765,-121.49137160000001,1632 BROADWAY
197,38.62764502,-121.4258496,1729 DIGGS PARK DR
198,38.52517945,-121.4443121,5301 FRUITRIDGE RD
199,38.65543537,-121.5223763,2700 DEL PASO RD
200,38.49250972,-121.45794450000001,7290 FRANKLIN BLVD
201,38.60057486,-121.4940223,700 N 5TH ST
202,38.61712192,-121.4587997,321 ELEANOR AVE
203,38.61712192,-121.4587997,321 ELEANOR AVE
204,38.44227407,-121.4127165,7659 MASTERS ST
205,38.63425266,-121.41777590000001,3644 DAYTON ST
206,38.55701398,-121.4762723,2800 BROADWAY
207,38.58376222,-121.48484640000001,1418 E ST
208,38.54242302,-121.46746019999999,3514 37TH ST
209,38.59572389,-121.5050785,227 JIBBOOM ST
210,38.609884,-121.46479,78 REDWOOD AVE
211,38.62798992,-121.5092581,3311 LONG BRANCH CT
212,38.60240036,-121.42950320000001,1601 ARDEN WAY
213,38.57117547,-121.4924504,1701 13TH ST
214,38.50482198,-121.41121310000001,7770 52ND AVE
215,38.61328867,-121.494681,2621 STONECREEK DR
216,38.61112465,-121.45935959999998,EL CAMINO AVE / GROVE AVE
217,38.62581805,-121.49713009999999,3200 TRUXEL RD
218,38.61102318,-121.51194720000001,2540 VENTURE OAKS WAY
219,38.62266231,-121.42608929999999,1732 ELDRIDGE AVE
220,38.56788759,-121.47924590000001,23RD ST / Q ST
221,38.63659439,-121.4763493,NORTHGATE BLVD / ROSIN CT
222,38.52654807,-121.44340659999999,5530 STOCKTON BLVD
223,38.49601155,-121.45927720000002,FRANKLIN BLVD / FLORIN RD
224,38.60311006,-121.42697450000001,1609 BOWLING GREEN DR
225,38.61589867,-121.49247859999998,1422 BREWERTON DR
226,38.60880668,-121.4528434,2000 DEL PASO BLVD
227,38.53137433,-121.45064029999999,MCGLASHAN ST / PERRY AVE
228,38.531379799999996,-121.45237420000001,PERRY AVE / 46TH ST
229,38.56165546,-121.3880115,8552 ERINBROOK WAY
230,38.64316291,-121.47458190000002,4100 NORTHGATE BLVD
231,38.52225475,-121.4114993,7901 34TH AVE
232,38.64390931,-121.4507882,630 JESSIE AVE
233,38.51585237,-121.36750009999999,4 WAYNE CT
234,38.54020494,-121.4505653,3800 STOCKTON BLVD
235,38.47226256,-121.4336162,5907 BAMFORD DR
236,38.66757714,-121.4538176,5425 RIO LINDA BLVD
237,38.5842425,-121.50364679999998,2ND ST / I ST
238,38.57562427,-121.47589779999998,23RD ST / J ST
239,38.67667622,-121.5088422,2116 MABRY DR
240,38.60667473,-121.4226379,1906 BOWLING GREEN DR
241,38.57016732,-121.5069731,330 U ST
242,38.61472939,-121.43000649999999,PRINCETON ST / GLENROSE AVE
243,38.61935446,-121.47553429999999,INDIANA AVE / NORTHGATE BLVD
244,38.61292672,-121.44157040000002,LEXINGTON ST / FRIENZA AVE
245,38.46292264,-121.42840259999998,65 BRENTFORD CIR
246,38.46377975,-121.43126310000001,VALLEY HI DR / CENTER PKWY
247,38.55507539999999,-121.46845330000001,34TH ST / Y ST
248,38.58245172,-121.4877874,13TH ST / G ST
249,38.55645223,-121.4289124,1311 63RD ST
250,38.54470924,-121.4490342,4911 8TH AVE
251,38.4625133,-121.4603514,3845 SEA FOREST WAY
252,38.67660642,-121.51904669999999,2481 KRAMERIA AVE
253,38.50751789,-121.54774429999999,6550 PARK RIVIERA WAY
254,38.56502139,-121.4763254,2531 S ST
255,38.54783739,-121.42432029999999,6730 4TH AVE
256,38.55137298,-121.40615030000001,200 BICENTENNIAL CIR
257,38.60824476,-121.5192803,2311 RIVER PLAZA DR
258,38.54468278,-121.4591392,3251 SAN JOSE WAY
259,38.54118802,-121.45931599999999,12TH AVE / LISSETTA AVE
260,38.62769343,-121.46344509999999,3345 MABEL ST
261,38.47687825,-121.5002604,1549 JANRICK AVE
262,38.48227523,-121.4584554,4108 WEYMOUTH LN
263,38.66254563,-121.45128899999999,621 CLAIRE AVE
264,38.51484622,-121.5249979,930 43RD AVE
265,38.62743901,-121.5056249,SAN JUAN RD / BANDON WAY
266,38.47663386,-121.4803303,24TH ST / TEEKAY WAY
267,38.44973707,-121.4180465,BRUCEVILLE RD / CALVINE RD
268,38.61880719,-121.4796125,2912 CAMARILLO DR
269,38.44803746,-121.40780159999998,8461 TAMBOR WAY
270,38.51042757,-121.5419071,6421 RIVERSIDE BLVD
271,38.48243228,-121.514852,7553 GREENHAVEN DR
272,38.55155803,-121.46849350000001,35TH ST / BROADWAY
273,38.58612197,-121.48321999999999,15TH ST / C ST
274,38.60879322,-121.4306804,1595 SILICA AVE
275,38.59444259,-121.48147320000001,ELIZA ST / LOUISE ST
276,38.48369463,-121.515322,1240 ALDER TREE WAY
277,38.5454679,-121.45733249999999,3205 42ND ST
278,38.64036498,-121.4321298,1515 NORTH AVE
279,38.57201606,-121.4692575,2801 L ST
280,38.55531685,-121.47928519999999,2628 27TH ST
281,38.6358152,-121.44464340000002,3720 CYPRESS ST
282,38.59156169,-121.42002420000001,ETHAN WAY / HALLMARK DR
283,38.53444222,-121.40791329999999,4635 POWER INN RD
284,38.57920289,-121.49394299999999,10TH ST / K ST
285,38.54867149,-121.42308270000001,4TH AVE / REDDING AVE
286,38.63482334,-121.44166840000001,ROANOKE AVE / BELDEN ST
287,38.62073056,-121.4618489,212 CHRISTINE DR
288,38.60930026,-121.47706409999998,2351 NORTHGATE BLVD
289,38.62630755,-121.4756162,3251 NORTHGATE BLVD
290,38.62073678,-121.45729509999998,346 LINDLEY DR
